TIMER REPORT
TIME           FCFS          SAME TRACK         PICKUP         C-LOOK           LOOK
50              0                   0              0              0              0
100              0                   0              0              0              0
150              0                   0              0              0              0
200              0                   0              0              0              0
250              0                   0              0              0              0
300              1                   1              1              1              1
350              2                   2              2              2              2
400              3                   3              3              3              3
450              0                   0              0              0              0
500              0                   0              0              0              0
550              0                   0              0              0              0
600              0                   0              0              0              0
650              0                   0              0              0              0
700              0                   0              0              0              0
750              1                   1              0              1              0
800              0                   0              1              0              1
850              0                   0              1              0              1
900              0                   0              0              0              0
950              0                   0              0              0              0
1000              0                   0              0              0              0
1050              0                   0              0              0              0
1100              0                   0              0              0              0
1150              0                   0              0              0              0
1200              0                   0              0              0              0
1250              0                   0              0              0              0
